State,Year,revratio_all,revratio_lo,revratio_st,revratio_fe,revratio_stlo,revratio_stfe,revratio_lofe,adjrevratio_all,adjrevratio_lo,adjrevratio_st,adjrevratio_fe,adjrevratio_stlo,adjrevratio_stfe,adjrevratio_lofe,revpp_all_2015dol,revpp_lo_2015dol,revpp_st_2015dol,revpp_fe_2015dol,revpp_stlo_2015dol,revpp_stfe_2015dol,revpp_lofe_2015dol,adj_revpp_all_2015dol,adj_revpp_lo_2015dol,adj_revpp_st_2015dol,adj_revpp_fe_2015dol,adj_revpp_stlo_2015dol,adj_revpp_stfe_2015dol,adj_revpp_lofe_2015dol
"USA",2007,.9937452,.8420119,1.092423,1.341242,.966167,1.126755,.9099061,1.013594,.8620384,1.107548,1.359205,.9854929,1.142575,.9319196,12964.54,5911.626,6047.613,1005.305,11959.24,7052.918,6916.931,13361.45,5997.288,6305.063,1059.093,12302.35,7364.157,7056.381
"USA",2008,.9952863,.8420676,1.097426,1.321639,.9702365,1.127166,.9061036,1.014465,.8616461,1.111597,1.339218,.9889529,1.142014,.927555,13036.09,5883.919,6174.885,977.2902,12058.8,7152.175,6861.209,13440.4,5967.019,6444.25,1029.131,12411.27,7473.381,6996.15
"USA",2009,.9890352,.8396181,1.088935,1.274922,.9626133,1.118281,.9067715,1.007531,.8587937,1.10246,1.290859,.9808421,1.132282,.9273907,13309.4,6011.305,6115.665,1182.425,12126.97,7298.09,7193.73,13701.46,6087.477,6376.056,1237.924,12463.53,7613.98,7325.401
"USA",2010,.9880698,.8441983,1.077968,1.252759,.9546724,1.114802,.9230701,1.004159,.8613696,1.088401,1.263769,.9706207,1.125516,.9415964,13118.56,5972.272,5600.98,1545.305,11573.25,7146.286,7517.577,13510.76,6035.771,5851.619,1623.37,11887.39,7474.989,7659.141
"USA",2011,.9921325,.8419429,1.082376,1.271502,.95752,1.121132,.9246868,1.00624,.8579816,1.090457,1.279319,.9717094,1.129247,.9415868,12875.72,5767.543,5608.158,1500.016,11375.7,7108.173,7267.559,13243.07,5824.646,5849.537,1568.887,11674.18,7418.423,7393.533
"USA",2012,.9862972,.8426678,1.079844,1.292899,.9564368,1.115801,.9136539,.9997858,.8573534,1.087396,1.302397,.9696981,1.123764,.929767,12542.07,5771.12,5587.699,1183.249,11358.82,6770.949,6954.369,12886.79,5821.953,5827.119,1237.721,11649.07,7064.839,7059.674
"USA",2013,.9872304,.848038,1.083674,1.300346,.9600718,1.117103,.9122171,1.000505,.8621911,1.090795,1.310623,.9729803,1.124823,.9280738,12401.15,5816.713,5531.752,1052.681,11348.46,6584.433,6869.394,12734.94,5859.372,5772.233,1103.331,11631.61,6875.564,6962.703
"USA",2014,.9884347,.8504257,1.081966,1.301786,.9626682,1.113845,.9125459,1.001047,.8647832,1.088159,1.310602,.9749992,1.120568,.9282871,12627.3,5846.904,5761.256,1019.143,11608.16,6780.398,6866.047,12966.71,5895.389,6003.18,1068.146,11898.57,7071.325,6963.534
"USA",2015,.989637,.8476564,1.084181,1.299191,.9649171,1.114009,.90939,1.003952,.8622845,1.092714,1.312661,.9786244,1.12346,.9263066,13066.86,5937.138,6106.66,1023.067,12043.8,7129.727,6960.205,13401.79,5967.947,6358.306,1075.541,12326.25,7433.847,7043.488
"AK",1995,1.169564,.8580317,1.221062,1.652203,1.114317,1.281216,1.080566,1.166775,.8559957,1.218517,1.648282,1.111739,1.27844,1.077495,13818.58,3518.963,8803.768,1495.85,12322.73,10299.62,5014.813,13577.97,3464.387,8645.858,1467.722,12110.25,10113.58,4932.109
"AK",1996,1.16779,.9284055,1.196866,1.607658,1.116604,1.255347,1.118713,1.165399,.9261265,1.194837,1.604491,1.114377,1.253116,1.115778,13408.95,3478.165,8452.398,1478.388,11930.56,9930.786,4956.553,13171.93,3422.464,8299.2,1450.264,11721.66,9749.464,4872.728
"AK",1997,1.167947,.8559662,1.200211,1.717945,1.093775,1.284773,1.117752,1.165459,.8546435,1.197901,1.711581,1.091749,1.281867,1.115013,13043.85,3388.127,7978.346,1677.372,11366.47,9655.719,5065.499,12826.43,3332.556,7844.08,1649.791,11176.64,9493.871,4982.347
"AK",1998,1.1345,.8501516,1.137799,1.72743,1.052518,1.234647,1.129161,1.1336,.8491836,1.137196,1.727062,1.05174,1.233917,1.127781,13425.34,3373,8301.152,1751.19,11674.15,10052.34,5124.19,13362.24,3360.709,8262.1,1739.431,11622.81,10001.53,5100.139
"AK",1999,1.137579,.896844,1.127851,1.613086,1.057645,1.222239,1.151926,1.139479,.896718,1.130192,1.615283,1.059202,1.224846,1.153149,13246.97,3366.129,7886.666,1994.173,11252.79,9880.839,5360.303,13536.58,3438.921,8053.464,2044.199,11492.38,10097.66,5483.12
"AK",2000,1.166249,.9027004,1.157632,1.683733,1.078562,1.261377,1.178643,1.170718,.9036628,1.162727,1.687461,1.082419,1.266882,1.182185,13610.63,3520.979,8022.228,2067.423,11543.21,10089.65,5588.402,14019.88,3619.297,8255.848,2144.739,11875.14,10400.59,5764.035
"AK",2001,1.213957,.9210449,1.225259,1.673999,1.122502,1.328868,1.20001,1.218886,.9219877,1.231019,1.679408,1.12669,1.335084,1.203941,13439.53,3682.732,7431.907,2324.886,11114.64,9756.793,6007.618,13924.17,3807.647,7693.626,2422.893,11501.27,10116.52,6230.541
"AK",2002,1.264214,.8930098,1.316007,1.669155,1.178975,1.399858,1.198701,1.268023,.8925765,1.321043,1.672697,1.182289,1.404939,1.201102,13646.1,3517.358,7660.325,2468.421,11177.68,10128.75,5985.779,14314.43,3682.594,8028.813,2603.027,11711.41,10631.84,6285.621
"AK",2003,1.237348,.899439,1.283007,1.582767,1.163675,1.353875,1.177368,1.239578,.898405,1.285977,1.585343,1.165492,1.356981,1.17869,13778.26,3412.359,7859.217,2506.681,11271.58,10365.9,5919.04,14563.11,3599.857,8303.695,2659.557,11903.55,10963.25,6259.414
"AK",2004,1.214269,.9335194,1.2425,1.529781,1.141405,1.315911,1.180237,1.218691,.9337386,1.247783,1.535118,1.14511,1.321563,1.183693,13918.44,3588.977,7630.422,2699.042,11219.4,10329.46,6288.02,14698.08,3780.471,8051.164,2866.44,11831.63,10917.6,6646.911
"AK",2005,1.248897,.9393337,1.28523,1.603441,1.170372,1.36447,1.205054,1.254452,.9404384,1.29177,1.609188,1.175233,1.371273,1.209518,14643.89,3827.824,8043.839,2772.23,11871.66,10816.07,6600.054,15412.12,4016.043,8458.618,2937.458,12474.66,11396.08,6953.501
"AK",2006,1.20472,.9089306,1.216415,1.629586,1.117997,1.311813,1.189551,1.211625,.9105222,1.223746,1.638326,1.123766,1.320016,1.195909,14376.26,3682.726,8129.426,2564.109,11812.15,10693.54,6246.835,15189.28,3872.075,8588.013,2729.192,12460.09,11317.21,6601.268
"AK",2007,1.270497,1.014515,1.281251,1.681737,1.19777,1.363237,1.255414,1.278413,1.018984,1.289537,1.690367,1.205065,1.371964,1.262808,15572.15,4029.982,9101.029,2441.137,13131.01,11542.17,6471.119,16377.82,4222.485,9573.034,2582.303,13795.52,12155.34,6804.788
"AK",2008,1.277773,.8618389,1.313641,1.803893,1.198027,1.396604,1.21227,1.287784,.8643455,1.323959,1.816462,1.206971,1.407763,1.221588,18443.58,3925.962,11960.82,2556.792,15886.78,14517.62,6482.754,19641.48,4151.014,12747.05,2743.425,16898.06,15490.47,6894.438
"AK",2009,1.246588,.848366,1.292304,1.719054,1.170825,1.369478,1.170076,1.254998,.8492945,1.301584,1.729842,1.178236,1.379464,1.176997,18316.25,4144.808,11518.84,2652.602,15663.65,14171.44,6797.409,19488.82,4387.109,12259.06,2842.651,16646.17,15101.71,7229.76
"AK",2010,1.168417,.8298646,1.221233,1.472929,1.111001,1.273563,1.087729,1.177118,.8323035,1.23069,1.483773,1.118943,1.283496,1.095142,18463.52,4194.598,11231.01,3037.906,15425.61,14268.92,7232.504,19416.67,4385.408,11819.37,3211.89,16204.78,15031.26,7597.298
"AK",2011,1.141715,.8504838,1.161775,1.464653,1.075289,1.228919,1.111756,1.14591,.8498466,1.16607,1.473515,1.078442,1.234237,1.115741,18865.66,4172.776,11331.13,3361.757,15503.9,14692.89,7534.533,19641.04,4329.19,11806.33,3505.519,16135.52,15311.85,7834.709
"AK",2012,1.153458,.8625826,1.171351,1.54742,1.089229,1.239699,1.122843,1.160474,.8648342,1.178639,1.558607,1.095382,1.247804,1.129351,18813.19,4132.077,11902.59,2778.522,16034.66,14681.11,6910.6,19536.63,4276.074,12366.78,2893.774,16642.85,15260.55,7169.848
"AK",2013,1.204432,.8758055,1.232496,1.62912,1.146683,1.29273,1.147835,1.213505,.8796606,1.241909,1.641847,1.155016,1.302813,1.156147,19748.19,4009.435,13248.52,2490.237,17257.95,15738.75,6499.672,20417.22,4128.337,13703.87,2585.014,17832.21,16288.89,6713.352
"AK",2014,1.156133,.857038,1.178659,1.591741,1.100042,1.238808,1.110529,1.160615,.8561192,1.183491,1.600897,1.103704,1.244418,1.114231,19597.29,4063.31,13159.85,2374.136,17223.16,15533.98,6437.445,20256.01,4182.413,13609.86,2463.741,17792.27,16073.6,6646.154
"AK",2015,1.144687,.8819407,1.140533,1.635736,1.083734,1.208493,1.154115,1.151336,.8836767,1.147333,1.646683,1.089517,1.216154,1.160417,22339.38,4208.787,15498.87,2631.723,19707.66,18130.6,6840.511,23072.33,4334.285,16005.57,2732.478,20339.85,18738.04,7066.762
"AL",1995,.988137,.8747233,1.005923,1.191998,.9671929,1.029596,.9566351,.9932657,.8821411,1.010337,1.192358,.9726989,1.03356,.9628822,7198.497,1874.987,4620.305,703.2042,6495.292,5323.509,2578.192,8205.405,2125.841,5274.907,804.6583,7400.748,6079.565,2930.499
"AL",1996,.987681,.8815067,1.005316,1.172771,.9681482,1.02726,.9572645,.9939448,.8901543,1.010714,1.174978,.9747249,1.032307,.9648768,6907.154,1829.951,4389.882,687.3219,6219.833,5077.204,2517.272,7872.091,2073.933,5011.293,786.8649,7085.226,5798.158,2860.798
"AL",1997,.9853383,.878647,1.009709,1.151647,.9686614,1.027792,.9448568,.9922304,.8873884,1.015805,1.155487,.9757571,1.033667,.9529282,7973.638,2216.279,5004.009,753.3507,7220.288,5757.359,2969.629,9096.836,2517.404,5715.686,863.7461,8233.09,6579.432,3381.15
"AL",1998,.984686,.8794419,1.010915,1.147843,.9690613,1.027782,.9415107,.9912451,.8883333,1.016459,1.151006,.9758732,1.033068,.949531,8142.999,2313.895,5093.275,735.8291,7407.17,5829.104,3049.724,9286.861,2626.157,5818.502,842.2025,8444.659,6660.705,3468.359
"AL",1999,.9912469,.9094344,1.009592,1.148348,.9765987,1.02653,.9621404,.9971542,.9166908,1.014962,1.15003,.9828004,1.031505,.9687096,8623.572,2556.859,5308.612,758.1009,7865.471,6066.713,3314.96,9910.567,2918.45,6116.049,876.0682,9034.499,6992.117,3794.518
"AL",2000,.9822795,.8831321,1.012924,1.115629,.9698711,1.025477,.9340654,.9907959,.8944989,1.019998,1.120566,.978663,1.032303,.9444826,9209.35,2744.616,5661.818,802.9159,8406.434,6464.734,3547.532,10575.17,3129.854,6519.944,925.3768,9649.798,7445.321,4055.23
"AL",2001,.9818872,.8884077,1.006366,1.139994,.9655719,1.024573,.9462253,.9917499,.9006549,1.015194,1.144831,.9758629,1.032888,.9573249,8877.549,2731.737,5289.55,856.2623,8021.286,6145.812,3587.999,10244.89,3130.107,6122.528,992.2548,9252.636,7114.783,4122.362
"AL",2002,.9856902,.8900253,1.008992,1.162612,.9669309,1.030638,.9529144,.9959685,.9027748,1.018239,1.167038,.9776877,1.039282,.9644246,9301.574,2918.488,5460.965,922.1212,8379.453,6383.086,3840.609,10711.74,3337.875,6305.657,1068.203,9643.531,7373.86,4406.078
"AL",2003,.9887334,.886712,1.014137,1.167863,.967635,1.038187,.9553127,.9973868,.8981823,1.021469,1.171319,.9767484,1.044991,.9655072,9192.63,2937.985,5250.172,1004.472,8188.157,6254.645,3942.457,10621.8,3373.805,6080.927,1167.071,9454.732,7247.998,4540.876
"AL",2004,.9927406,.8969777,1.014434,1.170508,.970136,1.040894,.9659479,1.001633,.9084104,1.022126,1.173664,.9795782,1.047891,.9761022,9196.494,3017.881,5104.066,1074.548,8121.947,6178.614,4092.429,10640.71,3462.931,5926.907,1250.87,9389.839,7177.777,4713.802
"AL",2005,.9984484,.9152573,1.017398,1.161607,.9783819,1.041333,.9752569,1.005254,.923268,1.023752,1.163916,.9855946,1.047089,.9824729,9779.309,3268.011,5403.4,1107.896,8671.411,6511.296,4375.908,11364.77,3773.457,6296.485,1294.832,10069.94,7591.318,5068.29
"AL",2006,1.000086,.9214898,1.014687,1.163954,.9796329,1.039571,.9819023,1.008449,.9314121,1.022497,1.167633,.9884341,1.046771,.990849,10065.75,3311.181,5599.779,1154.792,8910.96,6754.57,4465.973,11701.7,3825.489,6526.302,1349.909,10351.79,7876.211,5175.398
"AL",2007,.9898998,.8945295,1.016669,1.165119,.9717246,1.037598,.9540325,.999363,.9049273,1.025627,1.170531,.9814886,1.046111,.9639256,10873.29,3551.634,6261.759,1059.901,9813.393,7321.66,4611.535,12621.83,4095.593,7289.502,1236.735,11385.1,8526.237,5332.328
"AL",2008,.9943048,.8983083,1.018802,1.164968,.9775887,1.037741,.9576709,1.001721,.9064113,1.026036,1.168449,.9853035,1.044537,.9651891,11439.51,3497.96,6887.587,1053.962,10385.55,7941.549,4551.922,13263.32,4036.219,8000.171,1226.93,12036.39,9227.102,5263.148
"AL",2009,.9992313,.9154652,1.020066,1.154925,.9823075,1.039671,.9708849,1.006851,.924105,1.027393,1.15869,.9902534,1.046535,.9787928,10648.45,3402.832,6165.723,1079.894,9568.555,7245.617,4482.726,12221.66,3889.284,7087.779,1244.601,10977.06,8332.38,5133.885
"AL",2010,1.005989,.9285373,1.01995,1.126375,.9845477,1.043918,.9908584,1.012593,.9356634,1.026755,1.129689,.9916406,1.049967,.9971736,10565,3405.296,5514.085,1645.625,8919.381,7159.709,5050.92,12009.74,3850.923,6282.366,1876.448,10133.29,8158.814,5727.371
"AL",2011,1.004531,.9319685,1.015898,1.125652,.9844927,1.038846,.991348,1.010029,.9382389,1.021611,1.127739,.9904633,1.043867,.9965891,10392.51,3275.352,5596.629,1520.528,8871.98,7117.157,4795.879,11806.06,3713.386,6359.854,1732.819,10073.24,8092.673,5446.206
"AL",2012,.9998171,.9184808,1.017839,1.169313,.9796971,1.042308,.9777247,1.007568,.9263749,1.025924,1.173022,.9878168,1.049765,.9850085,9893.587,3324.702,5473.813,1095.073,8798.515,6568.886,4419.774,11254.82,3769.526,6234.572,1250.726,10004.1,7485.298,5020.252
"AL",2013,.9996263,.9174232,1.016907,1.182235,.9775573,1.044455,.9793985,1.006128,.9240395,1.023747,1.184612,.9844337,1.050632,.9854389,9832.812,3398.108,5325.743,1108.961,8723.852,6434.704,4507.068,11142.58,3836.402,6044.421,1261.754,9880.824,7306.176,5098.156
"AL",2014,1.002549,.9379659,1.011714,1.169905,.9831928,1.036814,.991361,1.008108,.9437181,1.017607,1.171093,.9891464,1.04203,.9964638,9901.135,3375.968,5455.173,1069.994,8831.141,6525.167,4445.962,11226.76,3810.494,6197.957,1218.311,10008.45,7416.268,5028.805
"AL",2015,.9985536,.9188343,1.014842,1.177063,.9779573,1.04044,.9784747,1.005289,.9257323,1.021919,1.17964,.9850712,1.046874,.9847304,10014.26,3380.823,5551.444,1081.995,8932.267,6633.438,4462.818,11362.01,3823.159,6307.026,1231.822,10130.19,7538.848,5054.981
"AR",1995,1.007455,.9259444,1.01878,1.213602,.9875887,1.043471,.9900615,1.021609,.9383,1.033164,1.228215,1.001499,1.058029,1.003754,7032.811,2111.949,4271.307,649.5552,6383.256,4920.862,2761.504,8577.946,2555.929,5222.558,799.46,7778.486,6022.018,3355.389
"AR",1996,1.005117,.9334584,1.019289,1.188059,.9889272,1.039617,.9844061,1.019351,.9458666,1.033882,1.202832,1.00295,1.054346,.9979706,7158.822,2287.088,4264.536,607.1988,6551.624,4871.735,2894.286,8729.272,2767.303,5214.767,747.2028,7982.07,5961.969,3514.506
"AR",1997,1.000954,.9297037,1.015113,1.175096,.9847222,1.035335,.9806409,1.015485,.942988,1.029557,1.190187,.9989998,1.050002,.995132,7485.345,2396.83,4424.988,663.527,6821.818,5088.515,3060.357,9128.154,2895.774,5414.071,818.3087,8309.846,6232.38,3714.083
"AR",1998,1.003479,.947926,1.012098,1.164559,.9891685,1.030614,.9910634,1.015817,.9592692,1.024491,1.17715,1.001317,1.043169,1.003257,8003.392,2595.944,4732.498,674.9504,7328.442,5407.448,3270.894,9725.954,3133.395,5763.576,828.9837,8896.971,6592.56,3962.379
"AR",1999,1.00022,.9470983,1.011058,1.143643,.9877063,1.027077,.9850068,1.009906,.9562401,1.020726,1.152849,.9973036,1.036794,.9946409,8275.804,2751.062,4842.572,682.1694,7593.634,5524.741,3433.231,10048.02,3319.883,5892.019,836.1194,9211.902,6728.139,4156.002
"AR",2000,1.007007,.9673477,1.012009,1.131685,.9957801,1.026839,.9999852,1.016554,.9766223,1.021611,1.140281,1.005319,1.036399,1.009431,8510.393,2815.751,4975.065,719.577,7790.815,5694.642,3535.328,10425.22,3435.068,6102.104,888.0469,9537.171,6990.15,4323.115
"AR",2001,1.00905,.9660403,1.014554,1.143553,.996463,1.031305,1.001653,1.019555,.9759045,1.025277,1.153343,1.00692,1.042013,1.011846,8680.129,2933.76,4983.099,763.2704,7916.858,5746.369,3697.031,10654.39,3587.164,6122.732,944.4924,9709.896,7067.224,4531.657
"AR",2002,1.005659,.9494658,1.015213,1.155321,.9895018,1.036313,.9940016,1.017397,.9608086,1.026798,1.166653,1.001089,1.04803,1.005893,9054.98,3159.548,4986.275,909.1568,8145.823,5895.432,4068.705,11088.62,3849.779,6113.623,1125.219,9963.401,7238.841,4974.998
"AR",2003,1.015139,.9665813,1.016119,1.160028,.9971886,1.040156,1.013941,1.025548,.9768758,1.02646,1.16921,1.007575,1.050457,1.024433,9111.741,3065.995,5010.194,1035.552,8076.189,6045.746,4101.547,11169.68,3741.869,6147.67,1280.141,9889.539,7427.811,5022.01
"AR",2004,1.005561,.9464143,1.014239,1.144991,.9871989,1.03773,.9957215,1.014262,.9551396,1.022696,1.151969,.9959075,1.046083,1.004655,9156.831,3188.718,4873.665,1094.448,8062.383,5968.113,4283.167,11256.42,3893.455,6003.713,1359.248,9897.168,7362.962,5252.704
"AR",2005,1.019468,.9441594,1.038429,1.143668,1.004713,1.054856,.9939067,1.03051,.9553145,1.049145,1.153744,1.015739,1.065558,1.005292,10248.88,3222.729,5908.421,1117.728,9131.149,7026.149,4340.457,12647.38,3955.232,7302.342,1389.812,11257.57,8692.153,5345.044
"AR",2006,1.01188,.9397155,1.029374,1.141474,.9962273,1.047401,.9893988,1.022488,.9506172,1.039797,1.150331,1.006946,1.057639,1.000175,10372.4,3368.563,5855.04,1148.793,9223.604,7003.833,4517.356,12728.24,4116.307,7194.541,1417.396,11310.85,8611.937,5533.703
"AR",2007,1.014352,.9413452,1.031447,1.153911,.9983792,1.050199,.9918757,1.026366,.9540508,1.042937,1.163444,1.010516,1.061494,1.004452,10429.33,3378.044,5946.538,1104.743,9324.582,7051.28,4482.787,12619.61,4058.854,7212.553,1348.208,11271.41,8560.76,5407.062
"AR",2008,1.018413,.9570229,1.034014,1.137552,1.005103,1.049725,.998417,1.032363,.9711017,1.047575,1.150235,1.01906,1.063231,1.012722,10421.93,3473.241,5874.212,1074.474,9347.453,6948.687,4547.716,12611.13,4169.273,7130.266,1311.595,11299.54,8441.861,5480.868
"AR",2009,1.021052,.9552016,1.038585,1.143139,1.006423,1.05565,.999747,1.03014,.9648171,1.047181,1.149988,1.015614,1.064067,1.009307,10826.15,3670.677,5963.508,1191.967,9634.186,7155.475,4862.645,13199.13,4442.076,7289.73,1467.324,11731.81,8757.055,5909.4
"AR",2010,1.020298,.9434165,1.037214,1.136274,.9999407,1.059559,1.002504,1.031996,.9571162,1.047405,1.145538,1.011794,1.06969,1.015692,11351.58,3765.452,5843.21,1742.916,9608.662,7586.126,5508.369,13755.39,4521.944,7098.33,2135.115,11620.27,9233.444,6657.059
"AR",2011,1.016221,.9456468,1.031368,1.122098,.9968779,1.05261,1.000748,1.025608,.9563287,1.039842,1.129578,1.006435,1.06094,1.010996,11236.75,3755.116,5699.802,1781.833,9454.918,7481.635,5536.949,13564.27,4501.878,6895.507,2166.881,11397.38,9062.388,6668.759
"AR",2012,1.010135,.9412614,1.031961,1.127406,.9936135,1.050687,.9877846,1.020752,.9525587,1.041667,1.136855,1.0042,1.060459,.9992236,10998.38,4003.356,5595.739,1399.287,9599.096,6995.027,5402.644,13274.52,4799.21,6769.43,1705.879,11568.64,8475.309,6505.089
"AR",2013,1.012621,.9532362,1.030257,1.12879,.9985559,1.047071,.9931394,1.024114,.9650487,1.041311,1.139338,1.010026,1.058144,1.005067,10575.4,3823.292,5575.834,1176.274,9399.126,6752.109,4999.566,12833.84,4620.121,6774.177,1439.54,11394.3,8213.717,6059.662
"AR",2014,1.007919,.9497113,1.025255,1.131404,.9939094,1.042496,.9887238,1.019555,.9628747,1.035806,1.141075,1.005636,1.05301,1.001517,10618.25,3901.482,5602.642,1114.124,9504.123,6716.765,5015.605,12877.61,4714.685,6800.838,1362.089,11515.52,8162.927,6076.774
"AR",2015,1.020383,.9583791,1.013772,1.141355,1.006205,1.029022,1.04287,1.032174,.9714979,1.02535,1.15216,1.018004,1.040605,1.055328,10848.65,1307.113,8370.803,1170.73,9677.916,9541.533,2477.843,13149.55,1581.261,10140.07,1428.226,11721.33,11568.29,3009.487
"AZ",1995,1.058951,.8992832,1.081093,1.855275,.9858771,1.206156,1.041817,1.077109,.9047565,1.102753,1.893405,.9994979,1.233813,1.057208,8062.305,3738.851,3533.447,790.0074,7272.298,4323.455,4528.858,8784.356,4033.753,3858.786,891.8173,7892.539,4750.603,4925.57
"AZ",1996,1.052701,.8948109,1.088411,1.848025,.9854472,1.204625,1.025579,1.074423,.9038582,1.113951,1.892317,1.002721,1.236188,1.044281,8163.358,3871.301,3550.036,742.0209,7421.338,4292.057,4613.322,8879.146,4169.031,3872.966,837.1483,8041.997,4710.114,5006.18
"AZ",1997,1.044276,.8765322,1.081334,1.856323,.9737432,1.201213,1.015543,1.070901,.8891085,1.111862,1.907657,.9953411,1.238556,1.039055,8138.471,3795.558,3581.868,761.045,7377.426,4342.913,4556.603,8853.202,4086.632,3905.5,861.0703,7992.132,4766.57,4947.703
"AZ",1998,1.050208,.8878417,1.084017,1.779547,.9793742,1.203849,1.02519,1.074286,.9002982,1.110178,1.825371,.998687,1.236593,1.047657,8510.17,4012.9,3641.934,855.3365,7654.833,4497.271,4868.236,9350.883,4367.957,4009.118,973.8084,8377.074,4982.926,5341.765
"AZ",1999,1.047787,.8732685,1.09196,1.767039,.9788494,1.203782,1.013001,1.06791,.8836331,1.113944,1.797207,.9954431,1.230033,1.031506,8863.64,4065.875,3932.733,865.0316,7998.608,4797.765,4930.907,9749.399,4427.961,4337.086,984.3521,8765.047,5321.438,5412.313
"AZ",2000,1.03646,.8758266,1.054596,1.802188,.9640238,1.174878,1.021578,1.058112,.8878346,1.077682,1.834188,.9819158,1.202778,1.042019,9240.732,4159.165,4177.962,903.6055,8337.127,5081.567,5062.77,10203.39,4550.286,4619.767,1033.334,9170.053,5653.1,5583.62
"AZ",2001,1.030803,.8920181,1.047713,1.646336,.9705392,1.145031,1.016435,1.051567,.9039463,1.070023,1.675871,.9880481,1.171382,1.035867,9458.176,4169.586,4357.113,931.4769,8526.699,5288.59,5101.063,10473.8,4575.343,4829.172,1069.284,9404.515,5898.456,5644.627
